,year,data-year,cfips,county,state,microbusiness_density,pct_house_price_gt1mill,pct_house_price_500k_1mill,pct_house_price_250k_500k,pct_house_price_100k_250k,pct_housing_vacant,pct_housing_occupant_ratio_lt1,pct_housing_grapi_gt35,total_population,old_age_dependency_ratio,child_dependency_ratio,median_age,sex_ratio,pct_moved_from_abroad,pct_moved_outside_state,pct_moved_within_state,pct_moved_within_county,pct_households_married,avg_family_size,pct_unmarried_same_sex_households,pct_housing_owner_occupied,pct_divorced,pct_never_married,pct_k12_enrollment,pct_k12_public_students,pct_college_public_students,pct_college_enrollment,pct_with_scieng_degree,pct_with_libarts_degree,pct_with_business_degree,pct_multilingual,pct_below_poverty_level,pct_unemployed,pct_occupation_mbsa,pct_in_finance_industry,pct_in_arts_industry,pct_in_public_admin_industry,pct_employed_at_self_employed,pct_employed_at_non_profit,pct_employed_at_government,pct_housing_single_detached,pct_broadband,pct_college,pct_in_it_industry,median_hh_inc
6284,2021,2019,1029,Cleburne County,Alabama,1.2825515666666667,0.0,0.0,42.3728813559322,33.89830508474576,17.0,99.2,28.5,14916,33.6,39.2,43.1,96.1,0.2,4.5,3.7,4.9,55.475352112676056,3.21,68.9,,11.4,20.6,97.79005524861878,92.2,79.2,26.1,18.7,18.0,17.1,2.9,17.3,5.9,28.3,3.942526721570002,5.922551252847381,4.871210793762047,9.7,3.5,16.4,68.5,64.3,10.1,0.8,44741.0
6285,2021,2019,1031,Coffee County,Alabama,2.058641908333333,1.8867924528301887,0.0,3.7735849056603774,62.264150943396224,14.1,98.2,32.8,51662,27.7,39.7,39.3,97.3,0.6,4.4,4.9,7.9,50.968680987753466,3.12,76.2,,13.3,24.6,96.4759169244366,92.5,86.1,24.9,24.4,24.7,18.7,6.4,15.1,5.7,34.2,3.7613548180946728,7.294472086547679,9.535764824028847,8.399999999999999,5.5,22.5,72.0,80.0,15.3,1.0,55637.0
6286,2021,2019,1033,Colbert County,Alabama,2.23768645,0.0,5.622489959839357,0.0,30.120481927710845,17.7,99.4,41.8,54771,32.7,35.5,42.4,92.3,0.3,0.8,2.8,5.5,50.603290676416826,3.06,79.4,,12.8,25.1,95.87592108390776,91.7,86.3,29.6,21.9,17.9,22.6,2.7,15.5,4.4,29.1,4.095129642606868,8.812193412754029,3.7754029432375615,8.9,5.1,14.4,79.0,70.1,11.5,1.3,48065.0
6287,2021,2019,1035,Conecuh County,Alabama,1.511746705,0.0,0.0,0.0,17.20779220779221,36.6,99.6,28.5,12394,39.0,37.0,44.8,96.2,0.1,0.3,1.4,1.6,42.54337799253239,3.41,61.9,,7.7,35.4,96.27100840336136,93.2,68.4,8.0,22.9,21.5,18.8,0.4,17.6,9.2,16.1,5.741965973534971,5.387523629489603,7.797731568998109,7.6,5.1,15.1,60.1,52.7,8.2,2.4,37837.0
6288,2021,2019,1037,Coosa County,Alabama,0.7183266383333332,3.932584269662921,4.213483146067416,0.0,41.853932584269664,38.8,97.2,26.0,10757,37.2,27.6,48.4,103.2,0.2,1.2,5.1,4.5,52.38095238095239,3.26,64.8,,12.1,28.2,98.46903270702852,86.9,96.3,12.1,22.3,21.6,22.6,0.7,13.5,2.9,22.0,5.235602094240837,6.877677296525464,4.664445502141837,3.8,4.0,12.7,64.4,69.5,8.6,1.1,38990.0
6289,2021,2019,1039,Covington County,Alabama,1.6344089583333332,0.0,0.0,5.444126074498568,43.83954154727794,21.7,97.9,36.9,37200,36.3,38.3,43.3,93.6,0.2,1.5,2.5,6.8,48.76110961486668,3.0,72.8,,13.3,23.6,97.8326108702901,97.2,92.9,24.0,30.1,12.9,22.5,1.7,18.6,8.4,29.7,3.4340844690325194,6.0180812306031575,4.891377681824316,10.4,6.4,15.1,71.9,70.7,9.9,0.8,42189.0
6290,2021,2019,1041,Crenshaw County,Alabama,0.9452411941666666,2.6262626262626263,0.0,0.0,22.626262626262623,27.5,99.1,27.7,13844,32.1,38.2,41.7,95.1,0.0,0.3,1.5,4.7,47.78474610560389,3.45,66.1,,11.9,29.4,97.45470232959448,93.3,92.6,30.3,22.3,16.4,26.7,2.0,15.2,3.4,23.7,4.128440366972478,3.5991531404375445,7.5511644318983775,10.9,4.3,16.5,65.7,65.1,12.7,0.9,43163.0
6291,2021,2019,1043,Cullman County,Alabama,2.5091715,7.7369439071566735,0.0,4.835589941972921,46.61508704061896,18.0,98.1,33.0,82853,30.8,38.1,40.8,96.8,0.0,1.1,3.2,6.1,54.03106270541986,3.18,71.6,,13.8,22.0,94.11331861662988,92.6,88.6,29.2,22.1,17.0,21.6,4.0,14.9,5.1,26.7,3.920766623816759,7.385766039499825,3.003389038214328,10.8,4.5,10.9,71.0,74.1,8.9,0.7,44918.0
6292,2021,2019,1045,Dale County,Alabama,1.6793342249999998,0.0,0.0,0.0,35.294117647058826,18.6,98.5,30.3,49277,27.1,38.2,37.3,97.3,0.6,6.9,4.3,6.4,47.63373391470808,3.14,72.4,,14.5,26.4,96.65194996320824,93.6,91.0,22.4,27.8,21.7,23.2,6.2,17.6,8.0,26.9,3.184394798266089,9.44759364232522,7.6303212181838385,7.8,4.2,19.2,69.3,77.0,12.1,0.4,47214.0
6293,2021,2019,1047,Dallas County,Alabama,1.3638403083333335,0.0,0.0,12.073490813648291,9.448818897637794,22.1,98.1,47.5,39149,29.7,41.2,39.6,85.5,0.2,0.9,2.0,8.1,35.21684475172847,3.06,62.0,,10.5,39.5,95.93519044911882,89.1,82.4,31.1,20.0,19.6,28.9,1.4,29.1,11.0,25.4,3.7708231686066775,6.09883599358751,5.931553634906252,7.7,4.4,14.9,61.1,69.7,8.8,0.7,33845.0
6294,2021,2019,1049,DeKalb County,Alabama,2.2532527916666667,0.0,4.781704781704782,4.365904365904366,36.7983367983368,16.8,97.1,32.6,71310,28.3,41.8,39.5,98.1,0.2,1.7,2.8,8.0,54.18202764976958,3.26,69.7,,12.0,24.9,97.07169811320756,91.3,89.0,29.0,23.2,14.0,17.4,12.9,21.1,4.0,23.8,3.829413947838996,6.06633152265596,3.75856135497149,12.8,3.2,12.0,69.3,72.0,7.8,1.3,40440.0
6295,2021,2019,1051,Elmore County,Alabama,2.8726588916666667,0.0,3.1620553359683794,21.21212121212121,44.79578392621871,13.0,98.4,39.5,81144,23.7,35.8,38.7,93.6,0.4,1.4,7.1,5.7,54.92459943449576,3.09,75.7,,12.6,27.4,95.21197746812926,81.6,73.4,22.4,28.2,18.9,25.4,3.5,11.5,4.6,38.1,5.204798127559976,8.818022235225278,11.945582211819778,7.8,6.9,21.3,74.2,81.5,16.3,1.6,60891.0
6296,2021,2019,1053,Escambia County,Alabama,1.6392065916666667,0.0,0.0,13.658536585365855,22.92682926829269,21.1,98.2,37.0,37057,29.6,37.3,40.0,103.6,0.0,1.2,1.0,3.6,43.98349759339904,3.47,71.0,,13.4,34.1,97.15440582053355,89.7,93.3,23.3,14.8,20.8,22.6,1.4,22.2,11.0,25.1,3.4960112623181603,9.134991396840295,8.74393868293446,7.7,5.0,17.3,70.5,61.0,8.2,0.6,36275.0
6297,2021,2019,1055,Etowah County,Alabama,2.391959,0.0,0.0,6.100217864923748,16.99346405228758,18.4,98.7,38.5,102748,31.4,36.2,41.4,93.2,0.2,1.4,3.1,8.9,47.40896718196292,3.23,78.2,,14.4,28.0,96.35144281055804,92.5,90.4,33.8,20.2,18.9,20.2,4.1,17.4,5.5,29.0,4.196951934349355,10.236811254396248,5.184056271981243,8.5,4.9,14.0,77.8,76.5,11.0,1.8,44637.0
6298,2021,2019,1057,Fayette County,Alabama,1.2697864,0.0,0.0,0.0,28.65853658536585,20.0,98.8,36.8,16494,35.9,36.3,43.7,97.4,0.2,0.9,5.1,7.0,54.895618935607175,2.85,69.3,,11.9,19.5,97.42703533026112,93.4,91.1,33.6,26.5,16.0,19.4,1.3,19.4,6.3,25.2,3.187628215243806,3.298090579138393,3.156067539845352,8.4,4.5,13.6,68.1,70.3,9.1,2.1,39856.0
6299,2021,2019,1059,Franklin County,Alabama,1.7534560333333333,0.0,9.642857142857144,0.0,29.642857142857142,21.4,96.5,28.1,31466,29.0,43.1,38.6,99.3,0.3,0.9,2.2,4.5,50.38015930485156,3.44,78.1,,13.8,26.5,96.87555163283318,97.7,94.8,29.6,22.5,16.2,17.8,16.1,19.4,4.8,24.1,3.23208722741433,6.674454828660437,3.473520249221184,7.800000000000001,2.5,14.0,77.5,61.9,8.8,3.4,43514.0
6300,2021,2019,1061,Geneva County,Alabama,1.3520073083333333,0.0,0.0,5.504587155963304,36.23853211009174,19.3,98.3,32.8,26417,34.4,38.0,43.2,94.5,0.0,1.6,3.0,7.3,50.40932293171531,3.11,71.0,,14.7,22.5,99.17770671539516,92.0,82.0,25.9,29.3,14.0,20.6,3.7,22.0,5.4,26.5,3.749757140081601,5.7800660578978045,5.527491742762774,12.2,5.6,16.1,70.4,67.1,7.6,0.8,41732.0
6301,2021,2019,1063,Greene County,Alabama,1.1982401833333334,0.0,0.0,0.0,0.0,42.3,97.8,65.8,8324,38.0,40.4,40.9,85.9,0.4,0.1,0.3,1.1,29.21043713995256,4.34,58.8,,8.3,46.1,89.58652373660031,86.1,77.4,21.2,11.8,15.4,33.6,0.3,38.1,11.5,21.8,7.262103505843072,5.258764607679465,10.225375626043403,10.4,5.9,21.8,58.4,51.3,6.1,0.8,24145.0
6302,2021,2019,1065,Hale County,Alabama,1.07074709,0.0,0.0,0.0,57.49999999999999,27.5,96.1,55.5,14809,32.4,40.3,40.5,90.5,0.1,0.7,3.0,2.8,43.09734513274336,3.36,57.4,,11.2,37.9,94.33198380566802,88.3,87.9,24.8,27.6,16.7,17.3,1.1,24.2,10.9,27.3,2.931839402427637,8.944911297852475,3.286647992530346,9.3,6.2,12.2,57.1,61.5,9.3,0.0,34046.0
6303,2021,2019,1067,Henry County,Alabama,2.5651917416666667,0.0,6.511627906976744,0.0,18.6046511627907,27.6,99.5,40.1,17133,38.8,36.9,44.4,94.4,0.3,1.3,2.9,2.7,54.34389140271493,3.13,72.0,,9.2,26.2,96.97081640192094,82.0,89.8,25.9,22.0,12.5,23.4,2.1,13.8,5.9,30.1,3.6127167630057806,8.699421965317919,1.8063583815028903,9.5,5.0,12.0,71.3,75.1,10.3,2.2,50017.0
6304,2021,2019,1069,Houston County,Alabama,3.4087750500000005,0.9358288770053476,0.8021390374331552,6.550802139037433,46.65775401069519,17.2,98.7,38.7,104702,29.0,39.1,40.1,92.1,0.2,2.5,1.8,6.9,45.92862048790415,3.3,74.3,,13.8,30.2,97.8442513368984,86.1,82.3,30.8,27.8,19.3,21.7,3.8,18.2,6.4,32.1,3.9234686978861495,10.413755802947671,4.543200973543065,9.5,7.2,11.7,73.2,74.9,13.4,1.5,47580.0
6305,2021,2019,1071,Jackson County,Alabama,1.6397520666666667,0.0,4.207920792079208,1.7326732673267329,39.10891089108911,17.4,97.4,28.9,51852,32.9,35.7,43.1,95.9,0.0,1.2,0.8,3.6,53.78110654747523,3.02,72.2,,12.8,21.3,95.59931923170436,92.9,89.8,19.7,28.3,9.8,19.5,1.5,18.6,5.1,29.0,3.4001572327044025,5.512971698113208,3.650746855345912,8.3,4.3,14.1,71.2,70.9,9.5,0.9,41769.0
6306,2021,2019,1073,Jefferson County,Alabama,6.223594866666667,2.1573604060913705,5.761421319796954,18.451776649746197,40.48223350253807,15.2,98.6,41.2,659680,25.0,37.2,37.7,89.8,0.3,2.1,2.6,10.9,41.43420956930839,3.15,73.6,,12.6,34.7,96.39783907157386,89.9,77.7,42.3,28.3,22.2,25.6,5.8,16.0,6.5,39.7,8.198849813438953,9.229689764388809,4.091555899460317,8.0,9.1,13.7,70.8,79.4,20.4,2.5,53901.0
6307,2021,2019,1075,Lamar County,Alabama,0.886786655,0.0,0.0,0.0,17.857142857142858,20.9,98.2,47.2,13885,38.0,38.8,44.8,95.5,0.1,1.3,2.2,6.6,53.39822404371585,2.96,72.7,,10.9,20.2,97.20790378006872,94.1,98.0,27.2,22.4,10.7,27.6,1.0,20.6,8.8,29.4,4.996186117467582,3.3752860411899315,6.426392067124333,8.5,8.6,15.4,71.9,62.9,8.3,1.2,38364.0
6308,2021,2019,1077,Lauderdale County,Alabama,4.23754495,0.0,0.0,17.825311942959,25.66844919786097,14.5,98.7,33.6,92556,32.5,32.7,41.0,92.9,0.4,2.9,4.7,9.2,50.035091367523584,2.91,74.1,,11.9,26.2,96.59124519372966,89.1,94.5,54.8,28.1,21.1,20.5,3.5,14.6,4.7,30.3,4.2296522451411125,10.18194454786904,3.648819718519622,9.5,4.6,16.0,73.3,72.3,14.9,1.4,48094.0
6309,2021,2019,1079,Lawrence County,Alabama,1.2869565333333333,0.0,0.0,0.0,32.53012048192771,17.1,98.3,27.2,33058,30.2,36.1,42.4,93.3,0.2,1.0,3.2,4.6,55.53364360653151,3.11,71.9,,12.7,23.6,96.57660991857882,97.0,90.7,33.2,24.8,15.8,16.9,1.8,18.0,5.3,26.7,3.913218159903576,5.833668139815186,3.334672559260747,7.0,4.2,14.5,71.7,62.0,8.4,1.2,44886.0
6310,2021,2019,1081,Lee County,Alabama,3.8193677666666663,0.0,0.0,13.65149833518313,51.6093229744728,12.7,96.8,45.7,161152,17.3,31.8,31.9,97.3,0.8,5.3,4.6,9.0,45.2313362219234,3.2,61.7,,9.9,39.6,96.22299987932908,89.3,91.0,72.1,34.5,20.5,19.7,7.3,19.6,5.2,41.1,7.252908920690117,9.56399625518256,3.75150461415006,8.0,5.7,18.5,58.3,82.0,19.6,1.4,51463.0
6311,2021,2019,1083,Limestone County,Alabama,2.881074808333333,0.0,0.0,42.72445820433436,37.306501547987615,10.9,97.9,32.9,94727,24.4,36.7,39.7,99.7,0.1,2.1,6.0,5.3,56.79619201692437,3.47,80.9,,12.3,28.1,96.65770499816692,85.7,87.1,32.8,32.5,17.1,25.0,6.7,13.6,6.2,35.2,3.3201678597877065,7.1513206615650455,6.630461614416193,8.7,6.1,15.8,79.6,80.1,17.4,1.6,59686.0
6312,2021,2019,1085,Lowndes County,Alabama,1.3725239,0.0,0.0,24.285714285714285,10.0,18.6,97.9,70.9,10079,31.2,38.2,42.0,91.7,0.1,0.7,1.9,8.6,31.263232180663376,2.94,54.4,,12.8,38.3,98.13027744270204,83.5,88.7,22.3,33.9,12.6,25.0,0.4,26.8,9.9,25.1,2.303206997084548,6.851311953352769,5.276967930029155,6.300000000000001,4.5,15.4,53.3,52.6,9.2,0.0,30036.0
6313,2021,2019,1087,Macon County,Alabama,1.7356619249999998,0.0,0.0,22.321428571428573,10.714285714285714,27.4,98.6,43.1,18708,30.5,27.4,38.6,85.0,0.2,3.1,2.8,3.3,32.74016590848274,2.88,64.1,,11.6,46.9,85.25269262634632,95.7,15.0,75.1,31.6,19.7,16.4,2.5,24.4,11.3,31.3,2.236693091732729,10.87202718006795,6.327859569648924,7.5,8.4,19.3,63.5,60.2,11.8,0.5,33370.0
6314,2021,2019,1089,Madison County,Alabama,6.367846375,0.0,0.0,31.641636457793886,38.11496633868462,8.3,98.7,36.3,362276,23.2,34.7,38.5,95.5,0.5,3.2,2.6,10.5,48.2478456565602,2.99,74.5,,11.7,30.6,97.09259544466693,83.6,85.1,53.0,42.6,16.5,22.8,6.9,12.5,5.0,47.9,3.7352326041490023,8.346051664688261,9.06958340399073,7.199999999999999,7.3,18.3,72.7,86.4,26.0,2.2,65449.0
6315,2021,2019,1091,Marengo County,Alabama,1.3507172666666667,0.0,0.0,0.0,63.04347826086957,28.9,99.6,47.9,19321,33.3,39.4,42.2,92.8,0.0,0.4,1.4,6.0,35.74242630077435,3.88,62.6,,11.3,35.4,98.6604542807222,89.1,82.4,21.5,28.4,17.0,20.2,0.6,21.9,8.0,29.4,4.116258483328415,6.68338742992033,7.598111537326645,9.9,6.7,17.8,61.6,59.7,8.7,1.8,33241.0
6316,2021,2019,1093,Marion County,Alabama,1.6357946333333333,0.0,0.0,3.333333333333333,19.25925925925926,18.6,98.3,30.4,29866,36.3,36.3,44.3,98.0,0.3,0.9,2.0,5.1,51.20446778361257,3.06,68.9,,13.0,21.4,91.84667513765352,95.9,82.4,27.7,16.1,15.9,26.0,3.1,17.5,5.5,25.7,5.830731583832588,4.185300818496329,5.518521643743144,8.7,5.8,17.1,68.1,65.6,7.9,0.1,35930.0
6317,2021,2019,1095,Marshall County,Alabama,2.5785300166666665,0.0,0.0,36.68261562998405,45.45454545454545,14.1,98.2,35.6,95643,28.9,42.9,38.8,97.6,0.2,1.7,3.3,6.5,52.87962617894103,3.3,77.6,,12.7,24.8,97.7593793422881,97.1,94.5,28.6,27.3,15.5,22.4,12.4,20.3,4.3,30.5,3.727706478197637,6.771617380654709,3.4878677314826625,10.8,4.1,12.9,76.8,79.5,13.0,2.1,45983.0
6318,2021,2019,1097,Mobile County,Alabama,3.849104633333333,0.0,0.0,8.287976249381494,42.38000989609104,14.9,98.0,44.0,414114,26.0,39.0,37.9,91.1,0.3,1.8,1.0,9.1,43.10116415254942,3.31,75.6,,12.8,33.7,96.51602486935091,83.7,80.0,36.6,28.4,19.5,23.0,4.6,18.8,5.8,32.9,5.179951753104247,8.930832746004732,3.7726551263759247,7.9,7.4,13.2,74.6,74.6,15.4,1.4,47583.0
6319,2021,2019,1099,Monroe County,Alabama,1.03548799,0.0,1.818181818181818,10.909090909090908,7.272727272727272,28.5,99.6,43.4,21270,33.0,38.2,43.3,91.4,0.1,0.9,1.2,4.8,42.15037962282635,3.42,73.3,,10.7,34.6,93.77248823692224,93.2,75.9,20.7,17.2,13.1,19.7,0.4,27.9,15.4,27.1,2.817997820333177,7.348591001089834,5.044371788883699,5.8,4.2,13.5,72.9,39.8,9.1,1.3,30441.0
6320,2021,2019,1101,Montgomery County,Alabama,4.663853916666667,0.0,5.16698172652804,17.13925645872716,31.001890359168243,14.5,98.0,43.4,226941,23.6,38.1,36.4,89.3,0.7,3.3,3.4,13.3,37.007830040099634,3.16,74.2,,12.8,39.3,97.23053499238723,78.9,76.5,41.0,29.9,22.9,25.4,6.2,19.4,6.6,37.6,5.944779384831655,10.412521160642688,10.550127211349034,6.9,8.0,21.4,71.5,79.5,19.6,1.2,50124.0
6321,2021,2019,1103,Morgan County,Alabama,3.0083872416666666,0.0,0.0,21.248499399759904,42.49699879951981,11.8,97.7,35.1,119213,28.6,38.3,40.6,97.0,0.1,1.5,3.1,6.8,51.33498845768544,3.14,74.6,,12.6,26.4,97.29515505796095,88.5,88.2,30.5,29.6,18.3,22.3,8.1,14.6,5.1,32.1,3.905361925129568,8.300098260216172,4.092249002947806,8.0,5.6,12.2,71.6,75.1,15.4,1.4,52156.0
6322,2021,2019,1105,Perry County,Alabama,0.8498032699999999,0.0,0.0,0.0,100.0,35.2,100.0,46.8,9293,32.1,36.4,36.9,84.8,0.0,1.5,3.7,2.2,21.270358306188925,4.52,64.8,,13.1,53.8,97.63624425476034,87.4,69.5,57.9,12.2,21.5,30.8,1.3,30.8,10.1,27.7,0.661221314663555,10.657331777518475,6.3788409179307655,7.0,9.1,19.6,64.5,53.9,12.9,0.0,23447.0
